caseid	ideol7b	presvote	retecon	white	female	age	educ1_7	income	partyid	bushiraq	exptrnout2
3.0	6.0	1	0.5	1.0	1	37.0	6.0	23.0	6.0	1.0	1
8.0	4.0	0	0.0	1.0	1	56.0	4.0	8.0	1.0	0.0	1
10.0	6.0	1	0.5	1.0	1	47.0	7.0	23.0	6.0	1.0	1
14.0	4.0	1	0.0	1.0	1	33.0	3.0	10.0	5.0	0.33333334	1
16.0	4.0	0	-0.5	1.0	0	39.0	6.0	23.0	2.0	0.0	1
20.0	4.0	0	-1.0	0.0	1	33.0	4.0	5.0	0.0	0.33333334	1
21.0	3.0	1	0.5	1.0	1	31.0	6.0	19.0	6.0	0.0	1
23.0	6.0	1	-0.5	1.0	0	37.0	4.0	18.0	5.0	0.33333334	1
24.0	6.0	1	1.0	1.0	0	27.0	6.0	14.0	6.0	1.0	1
26.0	4.0	0	0.0	0.0	1	44.0	3.0	14.0	1.0	0.0	1
29.0	4.0	0	0.0	0.0	1	40.0	3.0	10.0	0.0	0.0	1
33.0	5.0	1	0.5	1.0	1	50.0	6.0	20.0	4.0	0.6666667	1
38.0	3.0	1	-0.5	1.0	0	46.0	6.0	14.0	4.0	0.0	1
42.0	4.0	1	0.0	1.0	0	59.0	3.0	6.0	5.0	0.33333334	1
46.0	6.0	1	0.5	1.0	1	39.0	3.0	20.0	6.0	1.0	1
55.0	5.0	1	0.5	1.0	0	62.0	3.0	20.0	6.0	1.0	1
57.0	5.0	1	0.5	1.0	0	59.0	6.0	23.0	5.0	1.0	1
58.0	6.0	1	0.5	1.0	0	26.0	3.0	18.0	6.0	1.0	1
62.0	4.0	1	-0.5	0.0	0	60.0	4.0	18.0	3.0	0.6666667	1
63.0	2.0	0	-1.0	1.0	1	41.0	7.0	20.0	0.0	0.0	1
64.0	2.0	0	0.5	1.0	1	77.0	3.0	6.0	0.0	0.0	1
69.0	6.0	1	-0.5	1.0	1	47.0	3.0	19.0	5.0	1.0	1
71.0	4.0	1	-0.5	1.0	0	23.0	3.0	7.0	6.0	0.6666667	1
74.0	5.0	1	0.0	1.0	0	56.0	6.0	20.0	1.0	0.6666667	1
77.0	6.0	1	-0.5	1.0	1	28.0	5.0	15.0	6.0	1.0	1
80.0	6.0	1	0.5	1.0	0	51.0	6.0	23.0	4.0	0.6666667	1
85.0	4.0	1	0.5	1.0	0	42.0	3.0	19.0	6.0	1.0	1
86.0	5.0	1	-1.0	1.0	1	71.0	3.0	10.0	1.0	0.33333334	1
90.0	6.0	1	0.0	0.0	0	74.0	3.0	11.0	4.0	1.0	1
92.0	2.0	0	0.0	1.0	1	53.0	6.0	23.0	1.0	0.0	1
93.0	6.0	1	0.5	1.0	1	67.0	3.0	10.0	6.0	1.0	1
96.0	1.0	0	-1.0	0.0	1	32.0	6.0	19.0	0.0	0.0	1
100.0	4.0	0	-1.0	0.0	0	64.0	2.0	8.0	2.0	0.0	1
101.0	4.0	1	0.5	1.0	1	44.0	6.0	19.0	6.0	1.0	1
103.0	6.0	1	0.5	1.0	1	61.0	5.0	18.0	1.0	1.0	1
104.0	6.0	1	0.5	1.0	0	67.0	7.0	20.0	4.0	0.6666667	1
105.0	5.0	1	0.0	1.0	0	75.0	7.0	17.0	6.0	1.0	1
106.0	4.0	0	-1.0	1.0	0	70.0	3.0	14.0	0.0	0.0	1
109.0	5.0	1	0.0	1.0	1	45.0	3.0	23.0	6.0	1.0	1
111.0	2.0	0	0.0	1.0	1	47.0	7.0	23.0	2.0	0.0	1
113.0	4.0	0	0.0	0.0	1	28.0	3.0	15.0	2.0	0.0	1
117.0	6.0	0	-1.0	0.0	1	24.0	4.0	14.0	0.0	0.0	1
122.0	5.0	0	-0.5	1.0	1	73.0	3.0	5.0	0.0	0.0	1
123.0	5.0	1	0.5	1.0	0	61.0	7.0	23.0	6.0	0.6666667	1
124.0	3.0	1	0.5	1.0	0	55.0	3.0	19.0	5.0	1.0	1
127.0	5.0	1	0.0	1.0	0	21.0	4.0	20.0	5.0	0.6666667	1
134.0	6.0	1	1.0	1.0	1	24.0	4.0	16.0	6.0	0.6666667	1
138.0	5.0	1	0.5	1.0	0	73.0	6.0	20.0	5.0	0.0	1
139.0	4.0	1	1.0	1.0	0	21.0	3.0	10.0	6.0	1.0	1
142.0	4.0	0	-1.0	1.0	1	77.0	3.0	9.0	0.0	0.6666667	1
144.0	5.0	0	-0.5	1.0	0	52.0	6.0	23.0	2.0	0.0	1
145.0	3.0	0	-0.5	1.0	1	67.0	3.0	16.0	2.0	0.0	1
148.0	7.0	1	0.5	1.0	0	46.0	5.0	18.0	6.0	1.0	1
152.0	3.0	0	-0.5	1.0	0	23.0	4.0	10.0	2.0	0.0	1
157.0	4.0	0	-1.0	1.0	1	68.0	3.0	13.0	1.0	0.0	1
159.0	2.0	0	-0.5	1.0	1	29.0	6.0	20.0	0.0	0.0	1
165.0	6.0	1	0.0	1.0	1	58.0	5.0	23.0	6.0	0.6666667	1
167.0	6.0	1	0.5	1.0	1	49.0	6.0	10.0	6.0	1.0	1
168.0	4.0	0	-0.5	1.0	1	29.0	2.0	11.0	1.0	0.0	1
169.0	4.0	0	-1.0	0.0	1	58.0	7.0	15.0	0.0	0.0	1
172.0	6.0	1	0.0	1.0	0	34.0	5.0	19.0	5.0	0.0	1
173.0	1.0	0	-0.5	0.0	0	23.0	5.0	21.0	2.0	0.0	1
174.0	4.0	0	0.0	0.0	0	62.0	3.0	6.0	0.0	0.0	1
176.0	6.0	1	0.0	1.0	0	19.0	3.0	18.0	5.0	0.6666667	1
182.0	6.0	1	0.0	1.0	1	36.0	7.0	22.0	6.0	0.6666667	1
184.0	5.0	0	0.0	0.0	0	44.0	4.0	17.0	3.0	0.0	1
186.0	4.0	0	-1.0	1.0	1	63.0	2.0	2.0	1.0	0.0	1
187.0	4.0	1	0.5	1.0	0	37.0	6.0	23.0	4.0	1.0	1
